station_id,station,lat,lon,coast_rp_rp10_m,match_dist_km,window_width_km,terrain_source,terrain_tiles,mask_outside_support_cells,official_clipped_255_cells,coastal_sector,eta_m,neighbours,seed_rule,seed_resolved,seed_status,elevation_offset_m,window_area_km2,reference_land_area_km2,below_area_km2,connected_area_km2,unconnected_below_area_km2,below_reference_land_pct,conditional_connectivity_pct,connected_reference_land_pct,reference_land_window_pct,below_window_pct,connected_window_pct,below_cells,connected_cells,mask_ocean_area_km2,mask_river_area_km2,mask_lake_area_km2,mask_clipped_255_area_km2,mask_outside_support_area_km2,mask_land_area_km2,represented_land_window_pct
tregde-006-norway,Tregde 006 Norway,58.0,7.5666,0.9990000128746032,0.0353554993422451,10.0,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N57E007.tif;DeltaDTM_v1_1_N58E007.tif,0,0,Dutch-German-Bight,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.53654566131203,48.07282594164379,3.175327375768876,2.743390452234989,0.431936923533887,6.60524384321289,86.39709005030394,5.706738471262798,47.81626982052054,3.158381218373996,2.7287494653704685,6281.0,5426.0,50.60666095208581,0.2732128624404046,1.5838459051420273,0.0,0.0,48.07282594164379,47.81626982052054
lowestoft-p024-uk,Lowestoft P024 Uk,52.473,1.7508,2.378999948501587,0.558679556824671,10.0,DeltaDTM:DeltaDTM_v1_1_N52E001.tif,DeltaDTM_v1_1_N52E001.tif,0,0,British-North-Sea,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.59878908870212,47.27630776965928,5.71903283325058,0.6695068487931946,5.049525984457386,12.097037825193508,11.706644607820175,1.4161572262689828,46.99490739195061,5.684991723118926,0.6655217770095251,6562.0,768.0,52.3698163284845,0.5421521976245709,0.4105127929337629,0.0,0.0,47.27630776965928,46.99490739195061
wick-p035-uk,Wick P035 Uk,58.441,-3.0863,2.559999942779541,2.044426816988848,10.0,DeltaDTM:DeltaDTM_v1_1_N58W004.tif,DeltaDTM_v1_1_N58W004.tif,0,0,British-North-Sea,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.5973544660625,55.68345906178583,0.8797974378350306,0.8640743083235205,0.0157231295115101,1.579997817410761,98.2128693679535,1.551761192430147,55.352806599472935,0.8745731361472721,0.8589433717315343,1175.0,1154.0,43.9333703893201,0.0741439758018449,0.9063810391547316,0.0,0.0,55.68345906178583,55.35280659947294
stornoway-p042-uk,Stornoway P042 Uk,58.208,-6.3882,2.9800000190734863,1.96547346956443,10.0,DeltaDTM:DeltaDTM_v1_1_N58W007.tif,DeltaDTM_v1_1_N58W007.tif,0,0,Atlantic-Celtic,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.52536391210782,70.28727708840731,1.590244682845599,1.342972594491389,0.2472720883542098,2.262492941425786,84.45068919131747,1.9106908819389867,69.91994294082981,1.5819337736852115,1.3359539744273774,2110.0,1782.0,27.37666189701314,0.0,2.8614249266873704,0.0,0.0,70.28727708840731,69.91994294082981
le-conquet,Le Conquet France,48.359,-4.7807,4.026999950408936,0.3743241107784543,10.0,DeltaDTM:DeltaDTM_v1_1_N48W005.tif,DeltaDTM_v1_1_N48W005.tif,0,0,western-English-Channel,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.64263991857216,35.84920407602422,0.1210948740466651,0.1090500106753151,0.0120448633713499,0.3377895748811138,90.05336644827067,0.3041908836917451,35.62029384864015,0.12032163916272508,0.10835368663177473,191.0,172.0,64.07017353065535,0.6922090259010214,0.0310532859915851,0.0,0.0,35.84920407602422,35.62029384864016
brest,Brest,48.383,-4.5,4.313000202178955,0.8326028065721115,10.0,DeltaDTM:DeltaDTM_v1_1_N48W005.tif,DeltaDTM_v1_1_N48W005.tif,0,0,western-English-Channel,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.59543634506063,62.63626331885556,0.2876617134030241,0.1761772715744469,0.1114844418285772,0.4592574623084652,61.24460203281081,0.2812704050968057,62.26551183097589,0.2859590095283171,0.17513445736258534,454.0,278.0,37.23442020841672,0.6087956150986344,0.1159572026897373,0.0,0.0,62.63626331885556,62.2655118309759
port-tudy,Port Tudy France,47.644,-3.4459,3.0,0.3071588803705932,10.0,DeltaDTM:DeltaDTM_v1_1_N47W004.tif,DeltaDTM_v1_1_N47W004.tif,0,0,western-English-Channel,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.58051982042146,15.417579555925611,0.1922433180687702,0.1916004240849682,0.0006428939838019,1.2469098497038933,99.66558318371722,1.2427399734825972,15.328594029393049,0.19113374877362477,0.19049456537613402,299.0,298.0,85.14558617698232,0.0,0.0173540875135252,0.0,0.0,15.417579555925611,15.328594029393043
cherbourg,Cherbourg France,49.651,-1.6355,3.674000024795532,0.1799794683868606,10.0,DeltaDTM:DeltaDTM_v1_1_N49W002.tif,DeltaDTM_v1_1_N49W002.tif,0,0,western-English-Channel,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.48129346335188,57.660649063556335,0.8478972320329144,0.7787125268263957,0.0691847052065187,1.470495469272851,91.8404374265214,1.3505094713173649,57.38446140184956,0.8438359049808256,0.7749825862964356,1373.0,1261.0,42.81261775654048,0.0,0.0080266432550639,0.0,0.0,57.660649063556335,57.384461401849556
saint-nazaire,Saint Nazaire France,47.267,-2.2016,3.275000095367432,0.5134189518354477,10.0,DeltaDTM:DeltaDTM_v1_1_N47W003.tif,DeltaDTM_v1_1_N47W003.tif,0,0,western-English-Channel,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.6709728073322,56.65288751822597,6.052971363619637,0.330768580987012,5.722202782632625,10.684312183862328,5.464565435994638,0.5838512306731046,56.27529558758744,6.012628262969143,0.3285640058530566,9356.0,511.0,30.83024078717142,12.541251693187297,0.6465928087474999,0.0,0.0,56.65288751822597,56.275295587587436
saint-gildas,Saint Gildas France,47.14,-2.2464,3.243000030517578,0.6955371206450615,10.0,DeltaDTM:DeltaDTM_v1_1_N47W003.tif,DeltaDTM_v1_1_N47W003.tif,0,0,western-English-Channel,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.48904841388062,14.601906545415694,0.6566726372354704,0.6521308885363524,0.004541748699118,4.497170524910902,99.30836943073518,4.466066718808651,14.530843684851456,0.6534768192160169,0.6489571737712595,1012.0,1005.0,85.88714186846494,0.0,0.0,0.0,0.0,14.601906545415694,14.530843684851456
le-havre,Le Havre France,49.482,0.106,4.64300012588501,1.1125158833977298,10.0,DeltaDTM:DeltaDTM_v1_1_N49E000.tif,DeltaDTM_v1_1_N49E000.tif,0,0,eastern-Channel-southern-North-Sea,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.62743792318436,42.29796397447385,1.5212842204448311,1.4010474281228575,0.1202367923219736,3.5965897114170837,92.0963623558249,3.3123282930789943,42.03422530419855,1.5117986225646813,1.3923115375275386,2454.0,2260.0,43.14407089929399,14.92699971637096,0.2584033330455495,0.0,0.0,42.29796397447385,42.03422530419855
dunkerque,Dunkerque France,51.048,2.3667,4.547999858856201,1.0018618201129972,10.0,DeltaDTM:DeltaDTM_v1_1_N51E002.tif,DeltaDTM_v1_1_N51E002.tif,0,0,eastern-Channel-southern-North-Sea,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.59861011050234,52.60741409663865,18.19179324712672,16.082790875759464,2.109002371367257,34.58028409020219,88.40684729252648,30.571338948946885,52.29437468256484,18.083543328425694,15.987090535439163,20207.0,17864.0,44.78988429489311,0.5175324571695239,2.6837792618010634,0.0,0.0,52.60741409663865,52.29437468256484
roscoff,Roscoff France,48.718,-3.9657,4.85699987411499,0.6185832324786201,10.0,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N48W004.tif;DeltaDTM_v1_1_N48W005.tif,0,0,western-English-Channel,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.54719736499683,28.039641234832324,0.2555555317617746,0.243594995882567,0.0119605358792076,0.9114079942089632,95.31978987238004,0.8687521849600573,27.88704406453568,0.2541647489527543,0.24226930463142768,406.0,387.0,72.4987492766629,0.0,0.0088068535016101,0.0,0.0,28.039641234832324,27.88704406453568
boulogne-sur-mer,Boulogne Sur Mer,50.727,1.5777,5.7129998207092285,0.8011007337990727,10.0,DeltaDTM:DeltaDTM_v1_1_N50E001.tif,DeltaDTM_v1_1_N50E001.tif,0,0,eastern-Channel-southern-North-Sea,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.70321746230594,46.825788907994536,0.4421320910489036,0.44122581479523,0.0009062762536736,0.9442063900250032,99.79502138116156,0.9422709688077456,46.49880121806617,0.43904465238600476,0.4381447047214599,488.0,487.0,53.22145830282474,0.6559702514866548,0.0,0.0,0.0,46.825788907994536,46.49880121806617
dieppe,Dieppe France,49.929,1.0845,6.14300012588501,0.5368500847947633,10.0,DeltaDTM:DeltaDTM_v1_1_N49E001.tif,DeltaDTM_v1_1_N49E001.tif,0,0,eastern-Channel-southern-North-Sea,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.50674833504858,54.07552862006931,0.1559993128849424,0.1338828645254773,0.022116448359465,0.2884841200184692,85.82272706817814,0.2475849389584862,53.80288340421035,0.1552127747331992,0.13320783603421965,254.0,218.0,46.18603584009766,0.0,0.2451838748816152,0.0,0.0,54.07552862006931,53.80288340421035
immingham-p026-uk,Immingham P026 Uk,53.631,-0.18603,4.527999877929688,0.4874162774435815,10.0,DeltaDTM:DeltaDTM_v1_1_N53W001.tif,DeltaDTM_v1_1_N53W001.tif,0,0,British-North-Sea,2.0,4,official_adaptive,True,resolved_context_ocean_connected_river,0.0,100.69759476177953,61.51132370480517,12.389308536874562,0.2494598543760564,12.139848682498506,20.141508572196,2.013509096440562,0.405551107261522,61.08519657328719,12.303480104151415,0.24773169107584347,14595.0,294.0,0.0,38.802807840430255,0.3834632165441122,0.0,0.0,61.51132370480517,61.08519657328719
aberdeen-p038-uk,Aberdeen,57.143,-2.0745,2.822000026702881,1.2635678555080092,10.0,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N57W002.tif;DeltaDTM_v1_1_N57W003.tif,0,0,British-North-Sea,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.56937551929892,53.28492089218125,0.6232663150400612,0.5234240484859856,0.0998422665540756,1.1696861036937676,83.98080176246037,0.9823117679861098,52.98324725299309,0.61973768040397,0.5204606728273283,1204.0,1011.0,45.87032732529978,1.2939325314943066,0.1201947703235865,0.0,0.0,53.28492089218125,52.98324725299309
millport-p049-uk,Millport P049 Uk,55.75,-4.9058,2.7170000076293945,0.6640781018002286,10.0,DeltaDTM:DeltaDTM_v1_1_N55W005.tif,DeltaDTM_v1_1_N55W005.tif,0,0,British-North-Sea,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.56111418358014,44.73923972070818,0.8126555636874708,0.6877714063785553,0.1248841573089155,1.8164268520444304,84.63258446884353,1.5372889898712576,44.4896022522524,0.8081210816776762,0.6839337570613913,1009.0,854.0,55.46263579052565,0.0,0.3592386723463271,0.0,0.0,44.73923972070818,44.489602252252396
holyhead-p054-uk,Holyhead P054 Uk,53.308,-4.6312,3.315000057220459,0.6409171148649937,10.0,DeltaDTM:DeltaDTM_v1_1_N53W005.tif,DeltaDTM_v1_1_N53W005.tif,0,0,British-North-Sea,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.63070269096804,38.39536631948196,3.054575752352544,2.1897527668678847,0.8648229854846594,7.955584345610581,71.68762356544609,5.703169358112871,38.15472345193917,3.0354312060534814,2.1760284965837,3571.0,2560.0,62.14466727910983,0.0590115239849079,0.0316575683913506,0.0,0.0,38.39536631948196,38.15472345193917
sheerness-p015-uk,Sheerness,51.442,0.74306,5.25600004196167,0.4927874549512442,10.0,DeltaDTM:DeltaDTM_v1_1_N51E000.tif,DeltaDTM_v1_1_N51E000.tif,0,0,eastern-Channel-southern-North-Sea,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.61250241371246,47.6914455547565,21.8006432478019,20.36433158513328,1.436311662668622,45.71185250145477,93.41160879363758,42.70017683098357,47.40111259597956,21.667926673922675,20.2403588983369,24432.0,22822.0,52.498209406210265,0.0,0.4228474527456951,0.0,0.0,47.6914455547565,47.40111259597956
heysham-p050-uk,Heysham P050 Uk,54.032,-2.9204,6.624000072479248,0.1527296764442459,10.0,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N53W003.tif;DeltaDTM_v1_1_N54W003.tif,0,0,British-North-Sea,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.6515703922863,33.354197698754895,0.3748552041547957,0.3714909052891354,0.0033642988656602,1.123862152345487,99.10250709384016,1.113775569253171,33.13827848761621,0.372428569861165,0.3690860498661485,669.0,663.0,67.11519330653562,0.099750814339663,0.0824285726561127,0.0,0.0,33.354197698754895,33.13827848761621
northshields-p032-uk,Northshields P032 Uk,55.007,-1.4398,3.302000045776367,0.9356076661653266,10.0,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N54W002.tif;DeltaDTM_v1_1_N55W002.tif,0,0,British-North-Sea,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.59559381228638,67.75144468081132,0.1346448651225511,0.1028968740532931,0.031747991069258,0.19873357056353,76.42094183067314,0.151874066358375,67.35031039951613,0.13384767664257882,0.10228765510873265,246.0,188.0,30.38941173617387,2.4465293333753224,0.0082080619258667,0.0,0.0,67.75144468081132,67.35031039951613
whitby-p174-uk,Whitby P174 Uk,54.49,-0.61417,3.430999994277954,0.6840003931342477,10.0,DeltaDTM:DeltaDTM_v1_1_N54W001.tif,DeltaDTM_v1_1_N54W001.tif,0,0,British-North-Sea,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.53277591807796,49.430425824667125,0.2219706154952352,0.1354913271798507,0.0864792883153844,0.4490566524402989,61.04020880311484,0.2741051182938361,49.16846806751555,0.22079427676016264,0.1347732875597305,267.0,163.0,50.83048606334997,0.2718640300608635,0.0,0.0,0.0,49.430425824667125,49.168468067515555
dover-p012-uk,Dover P012 Uk,51.117,1.3181,4.618000030517578,0.50788422881673,10.0,DeltaDTM:DeltaDTM_v1_1_N51E001.tif,DeltaDTM_v1_1_N51E001.tif,0,0,eastern-Channel-southern-North-Sea,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.44831269784376,46.32071332044531,0.1320445145613024,0.1239613728417988,0.0080831417195036,0.2850658055453992,93.87847216042358,0.2676154228978248,46.113978499351774,0.13145518427820926,0.12340811857605226,147.0,138.0,54.12759937739845,0.0,0.0,0.0,0.0,46.32071332044531,46.113978499351774
ullapool-p043-uk,Ullapool P043 Uk,57.895,-5.1579,3.25600004196167,0.4910556156495481,10.0,DeltaDTM:DeltaDTM_v1_1_N57W006.tif,DeltaDTM_v1_1_N57W006.tif,0,0,Atlantic-Celtic,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.66537440941732,79.3821572460733,0.2213236629747633,0.2190439214422346,0.0022797415325287,0.2788078211186573,98.96995129129566,0.2759359647574579,78.85745988806161,0.21986076570342375,0.21759609272534816,291.0,288.0,19.53475483838181,0.0,1.7484623249622198,0.0,0.0,79.3821572460733,78.85745988806161
newhaven-p011-uk,Newhaven P011 Uk,50.782,0.05703,4.261000156402588,0.5395065039179817,10.0,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N50E000.tif;DeltaDTM_v1_1_N50W001.tif,326,0,eastern-Channel-southern-North-Sea,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.48693449315492,53.67397835793359,3.1393359960610483,2.031467472886417,1.1078685231746317,5.84889753303897,64.71010033444385,3.784827462088329,53.41388771451658,3.1241235608345654,2.021623490788047,5207.0,3370.0,46.11763939271314,0.3895320784698863,0.1091370427209124,0.0,0.1966476213173283,53.67397835793349,53.41388771451658
calais,Calais France,50.969,1.8677,4.699999809265137,1.6681851084393278,10.0,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N50E001.tif;DeltaDTM_v1_1_N51E001.tif,514,0,eastern-Channel-southern-North-Sea,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.6721132997378,52.12370643769533,19.4930676106123,14.955355982078956,4.537711628533344,37.397700476102585,76.72140825047491,28.692042458560454,51.77571497133864,19.36292680434182,14.855510122799725,32424.0,24874.0,46.00978961684132,1.2978598872140044,0.931647155903164,0.0,0.3091102020839715,52.12370643769533,51.77571497133864
ilfracombe-p061-uk,Ilfracombe P061 Uk,51.21100000000001,-4.1109,5.764999866485596,0.7893686301624632,10.0,DeltaDTM:DeltaDTM_v1_1_N51W005.tif,DeltaDTM_v1_1_N51W005.tif,0,0,western-English-Channel,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.53631708431308,48.26462464357762,0.0824781100564081,0.0824781100564081,0.0,0.170887292018717,100.0,0.170887292018717,48.00715407458313,0.08203812557330822,0.08203812557330822,92.0,92.0,52.27169244073545,0.0,0.0,0.0,0.0,48.26462464357762,48.00715407458313
felixstowe-p204-uk,Felixstowe P204 Uk,51.957,1.3484,3.75,0.8060091662253237,10.0,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N51E001.tif;DeltaDTM_v1_1_N52E001.tif,0,0,eastern-Channel-southern-North-Sea,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.6241925384244,39.66926590199232,11.042906751881384,10.628446821913156,0.4144599299682276,27.83743661696239,96.24682215216916,26.792648112450603,39.423189295997766,10.974405332658481,10.562516382781975,18792.0,18087.0,55.54918176543481,5.168946713761018,0.2367981572362729,0.0,0.0,39.66926590199232,39.42318929599777
leith-p034-uk,Leith P034 Uk,55.99,-3.1817,3.58899998664856,0.5189396857548381,10.0,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N55W004.tif;DeltaDTM_v1_1_N56W004.tif,0,0,British-North-Sea,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.55095692806738,36.077806348558674,0.1056573979439076,0.0875091806904092,0.0181482172534984,0.2928598178146402,82.8235243280048,0.2425568224546591,35.88012232878916,0.10507846088376194,0.08702968461355562,198.0,164.0,64.28202778469591,0.0,0.1911227948127733,0.0,0.0,36.077806348558674,35.88012232878916
tobermory-p223-uk,Tobermory P223 Uk,56.62300000000001,-6.0642,3.0910000801086426,0.4542674993488369,10.0,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N56W006.tif;DeltaDTM_v1_1_N56W007.tif,0,0,Atlantic-Celtic,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.6095769405417,53.852406684140846,0.2854984271073407,0.2839238764415712,0.0015745506657694,0.5301498014413123,99.44849059880198,0.5272259754459309,53.52612377643389,0.2837686389199954,0.2822036281986999,544.0,541.0,45.40396284037477,0.0,1.3532074160260843,0.0,0.0,53.852406684140846,53.52612377643389
cromer-p183-uk,Cromer P183 Uk,52.934,1.3016,3.740000009536743,0.4363097932395557,10.0,DeltaDTM:DeltaDTM_v1_1_N52E001.tif,DeltaDTM_v1_1_N52E001.tif,0,0,British-North-Sea,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.6662331516361,45.20371344228606,0.1423136607528017,0.1423136607528017,0.0,0.3148273668589218,100.0,0.3148273668589218,44.90454448036668,0.14137179498753172,0.14137179498753172,165.0,165.0,55.43576231140318,0.0,0.0267573979468582,0.0,0.0,45.20371344228606,44.90454448036668
avonmouth-p060-uk,Avonmouth P060 Uk,51.511,-2.715,8.786999702453613,0.138408160140448,10.0,DeltaDTM:DeltaDTM_v1_1_N51W003.tif,DeltaDTM_v1_1_N51W003.tif,0,0,western-English-Channel,2.0,4,official_adaptive,True,resolved_context_ocean_connected_river,0.0,100.4606644512727,54.45693920103256,0.2476176705388595,0.2404948992844899,0.0071227712543696,0.4547036138493889,97.12348022704955,0.4416239744886909,54.20722578183452,0.2464822145974991,0.23939210495779586,278.0,270.0,0.0,45.05675028433162,0.9469749659085234,0.0,0.0,54.45693920103256,54.20722578183452
hinkleypoint-p003-uk,Hinkleypoint P003 Uk,51.215,-3.1343,7.734000205993652,0.6080124463089123,10.0,DeltaDTM:DeltaDTM_v1_1_N51W004.tif,DeltaDTM_v1_1_N51W004.tif,0,0,western-English-Channel,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.52721994384478,39.51394690976025,0.0430352617200434,0.0430352617200434,0.0,0.1089115744836246,100.0,0.1089115744836246,39.30671407389264,0.04280956117565292,0.04280956117565292,48.0,48.0,60.99443035354576,0.0,0.0188426805387884,0.0,0.0,39.51394690976025,39.30671407389264
mumbles-p932-uk,Mumbles P932 Uk,51.57,-3.9754,5.824999809265137,0.1105824341088979,10.0,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N51W004.tif;DeltaDTM_v1_1_N51W005.tif,326,0,western-English-Channel,2.0,4,official_adaptive,True,resolved_local_ocean,0.0,100.52389162612413,23.14762730782048,0.0480072605258024,0.0450451505040506,0.0029621100217518,0.2073960319448513,93.82987075432092,0.1945994287234441,23.026990831107938,0.047757065260022505,0.0448103926095359,81.0,76.0,76.80320407556084,0.0,0.3797450665386927,0.0,0.1933151762040848,23.14762730782048,23.026990831107934
