station_id,station,n_annual_maxima,empirical_rp10_m,gev_rp10_m,gev_rp10_bootstrap_p025_m,gev_rp10_bootstrap_p975_m,gev_shape_scipy_c,gev_loc_m,gev_scale_m,gev_fit_status,gev_minus_empirical_rp10_m,gssr_predint_rp10_lower_m,gssr_predint_rp10_upper_m,gssr_prediction_interval_status
lowestoft-p024-uk,Lowestoft P024 Uk,41,1.1920704526742403,1.171282709133929,1.0735816349145082,1.2639508156005965,-0.005178644314338152,0.9059884431151142,0.11720371837841789,ok,-0.02078774354031121,0.9008311145894421,1.4833097907590382,annual maxima of product 95% prediction bounds
wick-p035-uk,Wick P035 Uk,41,0.808076274550261,0.7986707204781065,0.7463676382637897,0.9303214297433867,0.18819203474549598,0.5918305537711335,0.11274646008806814,ok,-0.009405554072154487,0.6309177217023045,0.9852348273982174,annual maxima of product 95% prediction bounds
stornoway-p042-uk,Stornoway P042 Uk,41,0.8669771899063078,0.8465367304480761,0.799705344408334,0.917184886243386,0.2790350807608303,0.6528767556778903,0.11588528021759198,ok,-0.020440459458231697,0.6860074425915864,1.0479469372210293,annual maxima of product 95% prediction bounds
le-conquet,Le Conquet France,41,0.6371741731015783,0.6449891824525481,0.5943724956493447,0.6979832935915682,0.07276668403388695,0.4994932591854317,0.07009233644733129,ok,0.007815009350969793,0.48926687893495097,0.7850814672682056,annual maxima of product 95% prediction bounds
port-tudy,Port Tudy France,41,0.6051734953633139,0.6448816324254525,0.5795411887197867,0.8071964465695486,-0.05926334270515833,0.4883104261749721,0.0650394701735712,ok,0.039708137062138604,0.4470658561235779,0.7632811346030499,annual maxima of product 95% prediction bounds
cherbourg,Cherbourg France,41,0.7862903835637746,0.8218090377832603,0.7393255536215684,0.8992104574305853,-0.04057123904398023,0.5894321037228174,0.09861958930961379,ok,0.035518654219485746,0.6089961296606653,0.9683545153184934,annual maxima of product 95% prediction bounds
saint-nazaire,Saint Nazaire France,41,1.081064631452094,1.0205197000651467,0.900385412272198,1.2339495863179872,-0.3854678357483916,0.7183038561135364,0.08436627258337379,ok,-0.060544931386947276,0.8643387379351876,1.2977905249690003,annual maxima of product 95% prediction bounds
saint-gildas,Saint Gildas France,41,0.9139205675130534,0.8994217969712374,0.8334487157311916,0.9631808166904471,0.13300327083563707,0.6603071902849103,0.12294937904061479,ok,-0.01449877054181603,0.7143357239903466,1.1324727451591046,annual maxima of product 95% prediction bounds
le-havre,Le Havre France,41,1.0236513743569966,1.0384012096089195,0.9535864156804198,1.1269959441481763,0.006111374537515948,0.7982403597179165,0.10745627119252729,ok,0.01474983525192286,0.7814299754326822,1.265059387559193,annual maxima of product 95% prediction bounds
dunkerque,Dunkerque France,41,1.3497596251464323,1.3758560030246267,1.2749606075860973,1.4711085770092913,0.037526346827346575,1.0314197849632878,0.15961144222331383,ok,0.02609637787819441,1.0434945652733663,1.6560246850194984,annual maxima of product 95% prediction bounds
roscoff,Roscoff France,41,0.8369542198272688,0.8297198080669839,0.7205324354961883,0.9654731229450392,-0.23420595245432307,0.5848637719805239,0.082640900515527,ok,-0.007234411760284942,-1.0775376207923593,2.7315363574838663,annual maxima of product 95% prediction bounds
boulogne-sur-mer,Boulogne Sur Mer,41,1.418302878622607,1.3840367020654825,1.246429246796876,1.5324766335545696,-0.05779494285782001,0.9463659339547152,0.18211509109200136,ok,-0.034266176557124606,1.1090282656344312,1.725763002712319,annual maxima of product 95% prediction bounds
dieppe,Dieppe France,41,1.2751484200353875,1.221087867745915,1.1252356514321629,1.300045985195564,0.0937348223861212,0.9368529216670116,0.14009536112014354,ok,-0.054060552289472596,1.00590295845664,1.5443938816141345,annual maxima of product 95% prediction bounds
immingham-p026-uk,Immingham P026 Uk,41,1.0112015153616605,0.9879217095368795,0.9201041798000078,1.0382128002191047,0.002860541820395245,0.7751042281097249,0.09487482133070321,ok,-0.023279805824780953,0.7279552128604205,1.294918182191762,annual maxima of product 95% prediction bounds
millport-p049-uk,Millport P049 Uk,41,1.1212813499713907,1.1539625338735948,1.0545230262614,1.240718398800698,0.07024810235242725,0.8574368741676297,0.1424571507144034,ok,0.03268118390220409,0.8605040999277995,1.3874926423321576,annual maxima of product 95% prediction bounds
holyhead-p054-uk,Holyhead P054 Uk,41,0.8277096383956364,0.8312194323739546,0.7673070101780033,0.8937664603312694,0.04651596801928335,0.6460077634877228,0.0866856498199749,ok,0.0035097939783181875,0.6206383096528008,1.034780967138472,annual maxima of product 95% prediction bounds
