station_id,station,mask_source,marine_seed_resolved,marine_seed_status,marine_context_width_km,marine_context_source,marine_context_ocean_cells,marine_context_river_cells,window_area_km2,valid_area_km2,mask_lowland_area_km2,mask_reference_land_area_km2,land_cells,land_area_km2,ocean_cells,ocean_area_km2,lake_cells,lake_area_km2,river_cells,river_area_km2,outside_mask_support_cells,outside_mask_support_area_km2,clipped_255_cells,clipped_255_area_km2
holyhead-p054-uk,Holyhead P054 Uk,DeltaDTM_v1_1_N53W005.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N53W005.tif,72688,69,100.63070269096804,38.39536631948196,22.380143478694983,38.39536631948196,44892,38.39536631948196,72688,62.144667279109825,37,0.0316575683913506,69,0.059011523984907985,0,0.0,0,0.0
sheerness-p015-uk,Sheerness,DeltaDTM_v1_1_N51E000.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N51E000.tif,58873,0,100.61250241371246,47.6914455547565,44.428717649400106,47.6914455547565,53449,47.6914455547565,58873,52.498209406210265,474,0.42284745274569513,0,0.0,0,0.0,0,0.0
heysham-p050-uk,Heysham P050 Uk,mask:mosaic(2),True,resolved_local_ocean,10.0,mask:mosaic(2),119775,178,100.6515703922863,33.354197698754895,29.88035626780576,33.354197698754895,59526,33.354197698754895,119775,67.11519330653562,147,0.08242857265611277,178,0.09975081433966301,0,0.0,0,0.0
northshields-p032-uk,Northshields P032 Uk,mask:mosaic(2),True,resolved_local_ocean,10.0,mask:mosaic(2),55564,4470,100.59559381228638,67.75144468081132,10.150581960926237,67.75144468081132,123815,67.75144468081132,55564,30.38941173617387,15,0.008208061925866721,4470,2.4465293333753224,0,0.0,0,0.0
whitby-p174-uk,Whitby P174 Uk,DeltaDTM_v1_1_N54W001.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N54W001.tif,61181,327,100.53277591807797,49.430425824667125,2.7117925946439922,49.430425824667125,59438,49.430425824667125,61181,50.83048606334997,0,0.0,327,0.2718640300608635,0,0.0,0,0.0
dover-p012-uk,Dover P012 Uk,DeltaDTM_v1_1_N51E001.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N51E001.tif,60230,0,100.44831269784376,46.32071332044531,2.2221272190472785,46.32071332044531,51588,46.32071332044531,60230,54.12759937739845,0,0.0,0,0.0,0,0.0,0,0.0
ullapool-p043-uk,Ullapool P043 Uk,DeltaDTM_v1_1_N57W006.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N57W006.tif,25687,0,100.66537440941732,79.3821572460733,2.7044543619122168,79.3821572460733,104369,79.3821572460733,25687,19.53475483838181,2300,1.7484623249622198,0,0.0,0,0.0,0,0.0
newhaven-p011-uk,Newhaven P011 Uk,mask:mosaic(2),True,resolved_local_ocean,10.0,mask:mosaic(2),76415,646,100.48693449315476,53.67397835793349,10.870553098208035,53.67397835793349,89018,53.67397835793349,76415,46.11763939271314,181,0.10913704272091243,646,0.3895320784698863,326,0.1966476213173283,0,0.0
calais,Calais France,mask:mosaic(2),True,resolved_local_ocean,10.0,mask:mosaic(2),76620,2160,100.67211329973779,52.12370643769533,51.432774029188124,52.12370643769533,86720,52.12370643769533,76620,46.00978961684132,1550,0.9316471559031639,2160,1.2978598872140044,514,0.30911020208397155,0,0.0
ilfracombe-p061-uk,Ilfracombe P061 Uk,DeltaDTM_v1_1_N51W005.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N51W005.tif,58334,0,100.53631708431308,48.26462464357762,0.6499731012066585,48.26462464357762,53810,48.26462464357762,58334,52.27169244073545,0,0.0,0,0.0,0,0.0,0,0.0
felixstowe-p204-uk,Felixstowe P204 Uk,mask:mosaic(2),True,resolved_local_ocean,10.0,mask:mosaic(2),94448,8794,100.62419253842441,39.66926590199232,22.747525137101718,39.66926590199232,67505,39.66926590199232,94448,55.54918176543481,403,0.23679815723627295,8794,5.168946713761018,0,0.0,0,0.0
