sample,terrain_metric,n_sites,top_fraction,top_n,observed_overlap,observed_mismatch,random_expected_overlap,random_expected_mismatch,null_overlap_p025,null_overlap_p500,null_overlap_p975,overlap_low_tail_p
all spatial eligible,connected_2m_window_pct,74,0.35,26,8,0.6923076923076923,9.135135135135135,0.6486486486486487,5.0,9.0,13.0,0.37506249375062495
all spatial eligible,connected_2m_window_pct,74,0.4,30,10,0.6666666666666667,12.162162162162161,0.5945945945945945,8.0,12.0,16.0,0.2146785321467853
GSSR-qualified corr>=0.55,connected_2m_lowland_pct,46,0.1,5,0,1.0,0.5434782608695652,0.8913043478260869,0.0,0.0,2.0,0.539046095390461
GSSR-qualified corr>=0.55,connected_2m_lowland_pct,46,0.15,7,1,0.8571428571428572,1.065217391304348,0.8478260869565217,0.0,1.0,3.0,0.7108289171082892
GSSR-qualified corr>=0.55,connected_2m_lowland_pct,46,0.2,10,3,0.7,2.1739130434782608,0.782608695652174,0.0,2.0,4.0,0.8769123087691231
GSSR-qualified corr>=0.55,connected_2m_lowland_pct,46,0.25,12,3,0.75,3.130434782608696,0.7391304347826086,1.0,3.0,6.0,0.6192380761923808
GSSR-qualified corr>=0.55,connected_2m_lowland_pct,46,0.3,14,5,0.6428571428571428,4.260869565217392,0.6956521739130435,2.0,4.0,7.0,0.805919408059194
GSSR-qualified corr>=0.55,connected_2m_lowland_pct,46,0.35,17,7,0.5882352941176471,6.282608695652174,0.6304347826086957,3.0,6.0,9.0,0.7832216778322167
GSSR-qualified corr>=0.55,connected_2m_lowland_pct,46,0.4,19,8,0.5789473684210527,7.8478260869565215,0.5869565217391304,5.0,8.0,11.0,0.658934106589341
GSSR-qualified corr>=0.55,connected_2m_area_km2,46,0.1,5,0,1.0,0.5434782608695652,0.8913043478260869,0.0,0.0,2.0,0.5492450754924507
GSSR-qualified corr>=0.55,connected_2m_area_km2,46,0.15,7,1,0.8571428571428572,1.065217391304348,0.8478260869565217,0.0,1.0,3.0,0.7194280571942806
GSSR-qualified corr>=0.55,connected_2m_area_km2,46,0.2,10,3,0.7,2.1739130434782608,0.782608695652174,0.0,2.0,5.0,0.8747125287471252
GSSR-qualified corr>=0.55,connected_2m_area_km2,46,0.25,12,3,0.75,3.130434782608696,0.7391304347826086,1.0,3.0,6.0,0.6227377262273772
GSSR-qualified corr>=0.55,connected_2m_area_km2,46,0.3,14,5,0.6428571428571428,4.260869565217392,0.6956521739130435,2.0,4.0,7.0,0.8147185281471853
GSSR-qualified corr>=0.55,connected_2m_area_km2,46,0.35,17,7,0.5882352941176471,6.282608695652174,0.6304347826086957,3.0,6.0,9.0,0.7778222177782221
GSSR-qualified corr>=0.55,connected_2m_area_km2,46,0.4,19,8,0.5789473684210527,7.8478260869565215,0.5869565217391304,5.0,8.0,11.0,0.660933906609339
GSSR-qualified corr>=0.55,connected_2m_window_pct,46,0.1,5,0,1.0,0.5434782608695652,0.8913043478260869,0.0,0.0,2.0,0.5440455954404559
GSSR-qualified corr>=0.55,connected_2m_window_pct,46,0.15,7,1,0.8571428571428572,1.065217391304348,0.8478260869565217,0.0,1.0,3.0,0.7177282271772822
GSSR-qualified corr>=0.55,connected_2m_window_pct,46,0.2,10,3,0.7,2.1739130434782608,0.782608695652174,0.0,2.0,5.0,0.8671132886711329
GSSR-qualified corr>=0.55,connected_2m_window_pct,46,0.25,12,3,0.75,3.130434782608696,0.7391304347826086,1.0,3.0,6.0,0.6163383661633837
GSSR-qualified corr>=0.55,connected_2m_window_pct,46,0.3,14,5,0.6428571428571428,4.260869565217392,0.6956521739130435,2.0,4.0,7.0,0.8087191280871913
GSSR-qualified corr>=0.55,connected_2m_window_pct,46,0.35,17,7,0.5882352941176471,6.282608695652174,0.6304347826086957,3.0,6.0,9.0,0.7769223077692231
GSSR-qualified corr>=0.55,connected_2m_window_pct,46,0.4,19,8,0.5789473684210527,7.8478260869565215,0.5869565217391304,5.0,8.0,11.0,0.6512348765123488
baseline 30-station subset,connected_2m_lowland_pct,30,0.1,3,0,1.0,0.3,0.9,0.0,0.0,1.0,0.7199280071992801
baseline 30-station subset,connected_2m_lowland_pct,30,0.15,5,2,0.6,0.8333333333333334,0.8333333333333334,0.0,1.0,2.0,0.9817018298170183
baseline 30-station subset,connected_2m_lowland_pct,30,0.2,6,2,0.6666666666666667,1.2,0.8,0.0,1.0,3.0,0.9308069193080692
baseline 30-station subset,connected_2m_lowland_pct,30,0.25,8,3,0.625,2.1333333333333333,0.7333333333333334,0.0,2.0,4.0,0.9007099290070993
baseline 30-station subset,connected_2m_lowland_pct,30,0.3,9,3,0.6666666666666667,2.7,0.7,1.0,3.0,5.0,0.7623237676232377
baseline 30-station subset,connected_2m_lowland_pct,30,0.35,11,5,0.5454545454545454,4.033333333333333,0.6333333333333333,2.0,4.0,7.0,0.8711128887111289
baseline 30-station subset,connected_2m_lowland_pct,30,0.4,12,5,0.5833333333333333,4.8,0.6,2.0,5.0,7.0,0.6996300369963003
baseline 30-station subset,connected_2m_area_km2,30,0.1,3,0,1.0,0.3,0.9,0.0,0.0,1.0,0.7188281171882812
baseline 30-station subset,connected_2m_area_km2,30,0.15,5,2,0.6,0.8333333333333334,0.8333333333333334,0.0,1.0,2.0,0.9791020897910209
baseline 30-station subset,connected_2m_area_km2,30,0.2,6,2,0.6666666666666667,1.2,0.8,0.0,1.0,3.0,0.9258074192580742
baseline 30-station subset,connected_2m_area_km2,30,0.25,8,4,0.5,2.1333333333333333,0.7333333333333334,0.0,2.0,4.0,0.9832016798320168
baseline 30-station subset,connected_2m_area_km2,30,0.3,9,4,0.5555555555555556,2.7,0.7,1.0,3.0,5.0,0.9404059594040596
baseline 30-station subset,connected_2m_area_km2,30,0.35,11,5,0.5454545454545454,4.033333333333333,0.6333333333333333,2.0,4.0,7.0,0.8717128287171283
baseline 30-station subset,connected_2m_area_km2,30,0.4,12,5,0.5833333333333333,4.8,0.6,2.0,5.0,7.0,0.7003299670032996
baseline 30-station subset,connected_2m_window_pct,30,0.1,3,0,1.0,0.3,0.9,0.0,0.0,1.0,0.7175282471752825
baseline 30-station subset,connected_2m_window_pct,30,0.15,5,2,0.6,0.8333333333333334,0.8333333333333334,0.0,1.0,2.0,0.9803019698030196
baseline 30-station subset,connected_2m_window_pct,30,0.2,6,2,0.6666666666666667,1.2,0.8,0.0,1.0,3.0,0.9276072392760724
baseline 30-station subset,connected_2m_window_pct,30,0.25,8,4,0.5,2.1333333333333333,0.7333333333333334,0.0,2.0,4.0,0.9856014398560144
baseline 30-station subset,connected_2m_window_pct,30,0.3,9,4,0.5555555555555556,2.7,0.7,1.0,3.0,5.0,0.9397060293970603
baseline 30-station subset,connected_2m_window_pct,30,0.35,11,5,0.5454545454545454,4.033333333333333,0.6333333333333333,2.0,4.0,6.0,0.8749125087491251
baseline 30-station subset,connected_2m_window_pct,30,0.4,12,5,0.5833333333333333,4.8,0.6,2.0,5.0,7.0,0.7046295370462954
