station_id,station,tg,lat,lon,num_year,corrn,rmse,gssr_archive,subset,gssr_years,gssr_rp10_m,gssr_rp10_bootstrap_p025_m,gssr_rp10_bootstrap_p975_m,terrain_status,terrain_source,terrain_tiles,coastal_lowland_cells,median_lowland_elev_m,connected_2m_lowland_pct,bathtub_2m_lowland_pct,unconnected_2m_lowland_pct,connected_2m_dem_pm05_min_pct,connected_2m_dem_pm05_max_pct,connected_2m_dem_pm1_min_pct,connected_2m_dem_pm1_max_pct,coast_rp_idx,coast_rp_lon,coast_rp_lat,match_dist_km,coast_rp_rp10_m,coast_rp_nearest3_range_m,coast_rp_within5km_n,coast_rp_within5km_min_m,coast_rp_within5km_max_m,D10_m,coast_rp_rank,terrain_rank,rank_mismatch_terrain_minus_coast,priority_class
portpatrick-p063-uk,Portpatrick P063 Uk,portpatrick-p063-uk-bodc.csv,54.843,-5.12,37,0.806112528372705,0.1175289694492101,portpatrick_p063_uk.7z,NW Europe 30-station screening subset,41,1.2441012282069477,0.9421253371588534,1.383772866830442,ok,DeltaDTM:DeltaDTM_v1_1_N54W006.tif,DeltaDTM_v1_1_N54W006.tif,1041,5.241891860961914,26.32084534101825,26.32084534101825,0.0,21.32564841498559,31.21998078770413,14.313160422670508,35.6388088376561,1617,-5.119999885559082,54.83599853515625,0.7785273697399445,2.88700008392334,0.3450000286102295,1,2.88700008392334,2.88700008392334,1.6428988557163922,23,4,-19,terrain top only
fishguard-p055-uk,Fishguard P055 Uk,fishguard-p055-uk-bodc.csv,52.014,-4.9833,37,0.7981757180354606,0.0910834652015793,fishguard_p055_uk.7z,NW Europe 30-station screening subset,41,0.7355959720946166,0.6843495742715937,0.84275399469335,ok,DeltaDTM:mosaic(3),DeltaDTM_v1_1_N52W006.tif;DeltaDTM_v1_1_N51W005.tif;DeltaDTM_v1_1_N51W006.tif;DeltaDTM_v1_1_N52W005.tif,1861,6.043798446655273,6.448146157979581,6.501880709296078,0.0537345513164965,1.8269747447608813,13.003761418592156,0.9134873723804406,19.66684578183772,19758,-4.98799991607666,52.00899887084961,0.6424302156659428,2.997999906539917,0.0109999179840087,3,2.989000082015991,3.0,2.2624039344453006,21,17,-4,other stations
milfordhaven-p056-uk,Milfordhaven P056 Uk,milfordhaven-p056-uk-bodc.csv,51.702,-5.0143,37,0.7890485580401847,0.0991096875377072,milfordhaven_p056_uk.7z,NW Europe 30-station screening subset,41,0.961408962704062,0.8129514062023706,1.2358847636349284,ok,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N51W005.tif;DeltaDTM_v1_1_N51W006.tif,4954,7.531881809234619,4.662898667743238,7.1659265240209935,2.5030278562777557,3.391199031085991,5.853855470327009,1.6148566814695196,7.085183689947518,19868,-5.017000198364258,51.70199966430664,0.1860794166112794,4.375999927520752,0.1040000915527343,2,4.3470001220703125,4.375999927520752,3.41459096481669,9,23,14,other stations
tregde-006-norway,Tregde 006 Norway,tregde-006-norway-statkart.csv,58.0,7.5666,37,0.7698606638312042,0.0878059183460786,tregde_006_norway.7z,NW Europe 30-station screening subset,41,0.6798260828523046,0.6046640222284557,0.7565045847294447,ok,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N58E007.tif;DeltaDTM_v1_1_N57E007.tif,15384,6.717041969299316,13.234529381175246,13.813052522100884,0.5785231409256371,10.62142485699428,16.205148205928236,8.300832033281331,19.429277171086845,19100,7.565999984741211,58.0,0.0353554993422451,0.9990000128746032,0.0069999694824218,4,0.9879999756813048,1.003999948501587,0.3191739300222986,30,8,-22,other stations
lowestoft-p024-uk,Lowestoft P024 Uk,lowestoft-p024-uk-bodc.csv,52.473,1.7508,37,0.7316476153949388,0.1494916068942721,lowestoft_p024_uk.7z,NW Europe 30-station screening subset,41,1.1494506006660192,1.0328150721734293,1.3407080869439605,ok,DeltaDTM:DeltaDTM_v1_1_N52E001.tif,DeltaDTM_v1_1_N52E001.tif,14771,7.2911787033081055,4.623925258953355,5.761289012253741,1.137363753300386,3.16160043328143,7.291314061336402,2.0580867916864127,10.24981382438562,19842,1.75,52.47800064086914,0.558679556824671,2.378999948501587,0.0240001678466796,3,2.378999948501587,2.4030001163482666,1.2295493478355677,28,24,-4,other stations
wick-p035-uk,Wick P035 Uk,wick-p035-uk-bodc.csv,58.441,-3.0863,36,0.8354551299984059,0.0894370601430803,wick_p035_uk.7z,NW Europe 30-station screening subset,41,0.7744161095766521,0.7057721715944856,0.8539130815390217,ok,DeltaDTM:DeltaDTM_v1_1_N58W004.tif,DeltaDTM_v1_1_N58W004.tif,7232,8.751780033111572,15.804756637168142,15.804756637168142,0.0,12.140486725663717,18.127765486725664,9.015486725663717,19.95298672566372,19508,-3.069000005722046,58.42499923706055,2.044426816988848,2.559999942779541,0.1390001773834228,2,2.4749999046325684,2.559999942779541,1.7855838332028888,27,6,-21,terrain top only
stornoway-p042-uk,Stornoway P042 Uk,stornoway-p042-uk-bodc.csv,58.208,-6.3882,36,0.8306759707875331,0.0925229406902,stornoway_p042_uk.7z,NW Europe 30-station screening subset,41,0.8523256040525293,0.7692755522255461,0.92042896975781,ok,DeltaDTM:DeltaDTM_v1_1_N58W007.tif,DeltaDTM_v1_1_N58W007.tif,10879,7.328567981719971,12.298924533504918,12.464380917363728,0.1654563838588105,6.939976100744554,15.91138891442228,1.5534516040077213,19.53304531666513,19079,-6.379000186920166,58.19100189208984,1.96547346956443,2.9800000190734863,0.0069999694824218,1,2.9800000190734863,2.9800000190734863,2.127674415020957,22,10,-12,other stations
le-conquet,Le Conquet France,le_conquet-france-refmar.csv,48.359,-4.7807,36,0.8081322021549198,0.0756774770825607,le_conquet_.7z,NW Europe 30-station screening subset,41,0.6157950377956614,0.5811541871213546,0.735682507531554,ok,DeltaDTM:DeltaDTM_v1_1_N48W005.tif,DeltaDTM_v1_1_N48W005.tif,2455,8.922821998596191,6.0285132382892055,6.272912423625255,0.2443991853360488,2.8105906313645623,9.572301425661914,1.09979633401222,13.441955193482688,19404,-4.7829999923706055,48.36199951171875,0.3743241107784543,4.026999950408936,0.1429998874664306,2,4.026999950408936,4.093999862670898,3.4112049126132744,12,20,8,other stations
port-tudy,Port Tudy France,port-tudy-france-refmar.csv,47.644,-3.4459,36,0.7897587784996325,0.0781423656398319,port_tudy_.7z,NW Europe 30-station screening subset,41,0.6020180182268304,0.5789236868183034,0.6861272254535717,ok,DeltaDTM:DeltaDTM_v1_1_N47W004.tif,DeltaDTM_v1_1_N47W004.tif,2111,8.656044006347656,12.979630506868782,12.979630506868782,0.0,10.184746565608716,15.679772619611558,6.5371861676930365,18.285172903837044,19410,-3.450000047683716,47.64400100708008,0.3071588803705932,3.0,0.0390000343322753,1,3.0,3.0,2.3979819817731696,20,9,-11,other stations
cherbourg,Cherbourg France,cherbourg-france-refmar.csv,49.651,-1.6355,36,0.7851281122153891,0.0887429304882357,cherbourg_.7z,NW Europe 30-station screening subset,41,0.7800548895948611,0.7315993802923749,1.002071313272337,ok,DeltaDTM:DeltaDTM_v1_1_N49W002.tif,DeltaDTM_v1_1_N49W002.tif,12520,5.248320817947388,5.519169329073482,6.006389776357827,0.487220447284345,4.257188498402556,6.916932907348243,3.059105431309904,9.456869009584665,19714,-1.6330000162124634,49.6510009765625,0.1799794683868606,3.674000024795532,0.0190000534057617,3,3.6549999713897705,3.674000024795532,2.893945135200671,13,21,8,other stations
saint-nazaire,Saint Nazaire France,saint-nazaire-france-refmar.csv,47.267,-2.2016,36,0.7764365796164387,0.1059791935061963,saint_nazaire_.7z,NW Europe 30-station screening subset,41,1.016817589264218,0.9029689319529022,1.1826816211387494,ok,DeltaDTM:DeltaDTM_v1_1_N47W003.tif,DeltaDTM_v1_1_N47W003.tif,36943,4.333022117614746,1.025904772216658,12.229651084102535,11.203746311885878,0.6415288417291504,1.523969358200471,0.2869285114906748,2.5092710391684485,19982,-2.2049999237060547,47.26300048828125,0.5134189518354477,3.275000095367432,0.0130000114440917,3,3.263000011444092,3.276000022888184,2.2581825061032137,18,29,11,other stations
saint-gildas,Saint Gildas France,saint-gildas-france-refmar.csv,47.14,-2.2464,36,0.772756505103827,0.0949980745104724,saint_gildas_.7z,NW Europe 30-station screening subset,41,0.9068167115025552,0.8180914965061981,0.947164557045024,ok,DeltaDTM:DeltaDTM_v1_1_N47W003.tif,DeltaDTM_v1_1_N47W003.tif,6142,8.002832651138306,14.685770107456854,14.79973949853468,0.1139693910778248,13.52979485509606,15.483555845001629,11.5434711820254,16.33018560729404,19980,-2.249000072479248,47.14599990844727,0.6955371206450615,3.243000030517578,0.0780000686645507,2,3.243000030517578,3.257999897003174,2.336183319015023,19,7,-12,other stations
le-havre,Le Havre France,le_havre-france-refmar.csv,49.482,0.106,36,0.7548941401492459,0.1129010031885105,le_havre_.7z,NW Europe 30-station screening subset,41,1.0077417521150958,0.9291549776520224,1.088482928632924,ok,DeltaDTM:DeltaDTM_v1_1_N49E000.tif,DeltaDTM_v1_1_N49E000.tif,17066,4.770859003067017,10.348060471112152,10.99261689909762,0.6445564279854682,9.09410523848588,11.754365404898628,7.506152584085316,13.28372202039142,3855,0.0949999988079071,49.47499847412109,1.1125158833977298,4.64300012588501,0.0320000648498535,3,4.611000061035156,4.64300012588501,3.635258373769914,6,13,7,water-level top only
dunkerque,Dunkerque France,dunkerque-france-refmar.csv,51.048,2.3667,36,0.7337241350119956,0.1525678243767126,dunkerque_.7z,NW Europe 30-station screening subset,41,1.3485105376535549,1.26781797925145,1.5347592930523115,ok,DeltaDTM:DeltaDTM_v1_1_N51E002.tif,DeltaDTM_v1_1_N51E002.tif,27715,2.7402734756469727,23.904023092188343,26.227674544470503,2.323651452282158,5.570990438390763,42.79631968248241,0.880389680678333,53.64964820494317,3891,2.365999937057495,51.05699920654297,1.0018618201129972,4.547999858856201,0.0970001220703125,1,4.547999858856201,4.547999858856201,3.1994893212026465,7,5,-2,terrain top only
roscoff,Roscoff France,roscoff-france-refmar.csv,48.718,-3.9657,36,0.7302442849046487,0.090851899639682,roscoff_.7z,NW Europe 30-station screening subset,41,0.792755959332262,0.6871844376233577,0.9967828303660432,ok,DeltaDTM:mosaic(2),DeltaDTM_v1_1_N48W004.tif;DeltaDTM_v1_1_N48W005.tif,6634,8.55659532546997,2.818812179680434,3.044920108531806,0.2261079288513717,1.4320168827253543,5.788362978595116,0.482363581549593,7.94392523364486,19972,-3.961999893188477,48.7130012512207,0.6185832324786201,4.85699987411499,0.0309996604919433,2,4.8420000076293945,4.85699987411499,4.064243914782728,4,26,22,water-level top only
boulogne-sur-mer,Boulogne Sur Mer,boulogne-sur-mer-france-refmar.csv,50.727,1.5777,36,0.7243652719585156,0.1483994452950236,boulogne_sur_mer_.7z,NW Europe 30-station screening subset,41,1.3703913370775025,1.272755232775009,1.494385109067791,ok,DeltaDTM:DeltaDTM_v1_1_N50E001.tif,DeltaDTM_v1_1_N50E001.tif,7352,7.266301155090332,6.134385201305767,6.147986942328618,0.0136017410228509,5.454298150163221,6.7736670293797605,4.760609357997824,7.630576713819368,19374,1.5750000476837158,50.720001220703125,0.8011007337990727,5.7129998207092285,0.1359996795654297,3,5.689000129699707,5.824999809265137,4.342608483631726,2,18,16,water-level top only
dieppe,Dieppe France,dieppe-france-refmar.csv,49.929,1.0845,36,0.7054409589991582,0.1277627317715805,dieppe_.7z,NW Europe 30-station screening subset,41,1.2221350690364745,1.097307601812885,1.3729566529101254,ok,DeltaDTM:DeltaDTM_v1_1_N49E001.tif,DeltaDTM_v1_1_N49E001.tif,12081,6.123361587524414,1.2333416107938084,1.4568330436222168,0.2234914328284082,0.9436304941643904,1.4485555831470904,0.6953066799106035,1.7713765416770135,19378,1.0770000219345093,49.92900085449219,0.5368500847947633,6.14300012588501,0.0900001525878906,3,6.085999965667725,6.176000118255615,4.920865056848536,1,28,27,water-level top only
immingham-p026-uk,Immingham P026 Uk,immingham-p026-uk-bodc.csv,53.631,-0.18603,36,0.6971313377451682,0.1406918002791824,immingham_p026_uk.7z,NW Europe 30-station screening subset,41,0.9803700419220154,0.951150028988828,1.0851341055356112,ok,DeltaDTM:DeltaDTM_v1_1_N53W001.tif,DeltaDTM_v1_1_N53W001.tif,28586,2.7007529735565186,0.167914363674526,29.18911355208844,29.02119918841391,0.0489750227384034,41.76519974812845,0.0,54.428741341915625,19455,-0.1829999983310699,53.6349983215332,0.4874162774435815,4.527999877929688,0.68399977684021,1,4.527999877929688,4.527999877929688,3.547629836007672,8,30,22,other stations
millport-p049-uk,Millport P049 Uk,millport-p049-uk-bodc.csv,55.75,-4.9058,35,0.8077434436729396,0.1306161268445088,millport_p049_uk.7z,NW Europe 30-station screening subset,41,1.1162301584132877,1.015094553740476,1.1877370665969331,ok,DeltaDTM:DeltaDTM_v1_1_N55W005.tif,DeltaDTM_v1_1_N55W005.tif,8474,6.34484338760376,7.646919990559358,8.118952088742034,0.4720320981826764,4.224687278734954,10.986547085201794,1.9589332074581072,14.019353316025487,19471,-4.900000095367432,55.744998931884766,0.6640781018002286,2.7170000076293945,0.0360000133514404,2,2.7170000076293945,2.720000028610229,1.6007698492161069,25,15,-10,other stations
holyhead-p054-uk,Holyhead P054 Uk,holyhead-p054-uk-bodc.csv,53.308,-4.6312,35,0.8055445593855491,0.104970921708509,holyhead_p054_uk.7z,NW Europe 30-station screening subset,41,0.8211972071859253,0.7374744666842261,1.0037392463199488,ok,DeltaDTM:DeltaDTM_v1_1_N53W005.tif,DeltaDTM_v1_1_N53W005.tif,11817,7.85471773147583,7.006854531607007,7.53998476770754,0.5331302361005331,5.102817974105103,9.24938647710925,2.8772107980028774,11.627316577811628,19792,-4.636000156402588,53.3129997253418,0.6409171148649937,3.315000057220459,0.2289998531341552,4,3.0450000762939453,3.3989999294281006,2.493802850034534,17,16,-1,other stations
