setting,terrain_metric,n_sites,spearman,kendall,permutation_two_sided_p,top_n,top_overlap,top_overlap_expected_independent,top_mismatch_fraction,top_water_sites,top_terrain_sites,omitted_sector,omitted_n
omit-sector:Denmark-Norway,conditional_connectivity_pct,66,0.10076313806334906,0.0654360657139795,0.42125787421257876,14,5,2.9696969696969697,0.6428571428571428,avonmouth-p060-uk;boulogne-sur-mer;dieppe;gladstone-p234-uk;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;mumbles-p932-uk;newport-p057-uk;portbury-p341-uk;saint-malo;sheerness-p015-uk;sthelier-p074-uk;workington-p217-uk,bangor-p662-uk;boulogne-sur-mer;cromer-p183-uk;delfzijl-del-nl;hinkleypoint-p003-uk;ilfracombe-p061-uk;malin-head-834a-ireland;port-tudy;porterin-p919-uk;portpatrick-p063-uk;saint-gildas;sthelier-p074-uk;tobermory-p223-uk;workington-p217-uk,Denmark-Norway,2
omit-sector:Dutch-German-Bight,conditional_connectivity_pct,64,0.10893186634853082,0.0701320704326533,0.39506049395060494,13,5,2.640625,0.6153846153846154,avonmouth-p060-uk;boulogne-sur-mer;dieppe;gladstone-p234-uk;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;mumbles-p932-uk;newport-p057-uk;portbury-p341-uk;saint-malo;sthelier-p074-uk;workington-p217-uk,bangor-p662-uk;boulogne-sur-mer;cromer-p183-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;malin-head-834a-ireland;port-tudy;porterin-p919-uk;portpatrick-p063-uk;saint-gildas;sthelier-p074-uk;tobermory-p223-uk;workington-p217-uk,Dutch-German-Bight,4
omit-sector:eastern-Channel-southern-North-Sea,conditional_connectivity_pct,58,0.11255904706144215,0.07162407135181047,0.3972602739726027,12,4,2.4827586206896552,0.6666666666666667,avonmouth-p060-uk;gladstone-p234-uk;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;llandudno-p007-uk;mumbles-p932-uk;newport-p057-uk;portbury-p341-uk;saint-malo;sthelier-p074-uk;workington-p217-uk,bangor-p662-uk;cromer-p183-uk;delfzijl-del-nl;hinkleypoint-p003-uk;ilfracombe-p061-uk;malin-head-834a-ireland;port-tudy;porterin-p919-uk;portpatrick-p063-uk;sthelier-p074-uk;tobermory-p223-uk;workington-p217-uk,eastern-Channel-southern-North-Sea,10
omit-sector:western-English-Channel,conditional_connectivity_pct,47,-0.0476465829484322,-0.040759650280366024,0.7456254374562544,10,2,2.127659574468085,0.8,boulogne-sur-mer;calais;cuxhaven-germany;dieppe;gladstone-p234-uk;heysham-p050-uk;le-havre;llandudno-p007-uk;sheerness-p015-uk;workington-p217-uk,bangor-p662-uk;boulogne-sur-mer;cromer-p183-uk;delfzijl-del-nl;malin-head-834a-ireland;portellen-p202-uk;porterin-p919-uk;portpatrick-p063-uk;tobermory-p223-uk;workington-p217-uk,western-English-Channel,21
omit-sector:Atlantic-Celtic,connected_area_km2,56,-0.3671223513328777,-0.225974025974026,0.0057994200579942,12,0,2.5714285714285716,1.0,avonmouth-p060-uk;boulogne-sur-mer;dieppe;gladstone-p234-uk;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;mumbles-p932-uk;newport-p057-uk;portbury-p341-uk;saint-malo;sthelier-p074-uk,barmouth-p923-uk;calais;cuxhaven-germany;delfzijl-del-nl;denhelder-hel-nl;dunkerque;esbjerg-130121-denmark;felixstowe-p204-uk;harwich-p022-uk;portsmouth-p008-uk;sheerness-p015-uk;tregde-006-norway,Atlantic-Celtic,12
omit-sector:British-North-Sea,connected_area_km2,49,-0.343265306122449,-0.19557823129251697,0.016298370162983702,10,0,2.0408163265306123,1.0,avonmouth-p060-uk;boulogne-sur-mer;dieppe;hinkleypoint-p003-uk;ilfracombe-p061-uk;mumbles-p932-uk;newport-p057-uk;portbury-p341-uk;saint-malo;sthelier-p074-uk,calais;cuxhaven-germany;delfzijl-del-nl;denhelder-hel-nl;dunkerque;esbjerg-130121-denmark;felixstowe-p204-uk;harwich-p022-uk;portsmouth-p008-uk;sheerness-p015-uk,British-North-Sea,19
omit-sector:Denmark-Norway,connected_area_km2,66,-0.38027345788539824,-0.23822843822843823,0.0016998300169983002,14,1,2.9696969696969697,0.9285714285714286,avonmouth-p060-uk;boulogne-sur-mer;dieppe;gladstone-p234-uk;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;mumbles-p932-uk;newport-p057-uk;portbury-p341-uk;saint-malo;sheerness-p015-uk;sthelier-p074-uk;workington-p217-uk,barmouth-p923-uk;calais;delfzijl-del-nl;denhelder-hel-nl;dunkerque;felixstowe-p204-uk;harwich-p022-uk;holyhead-p054-uk;morayfirth-p207-uk;newhaven-p011-uk;portsmouth-p008-uk;sheerness-p015-uk;stmarys-p231-uk;tregde-006-norway,Denmark-Norway,2
omit-sector:Dutch-German-Bight,connected_area_km2,64,-0.33818681318681315,-0.2013888888888889,0.0072992700729927005,13,0,2.640625,1.0,avonmouth-p060-uk;boulogne-sur-mer;dieppe;gladstone-p234-uk;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;mumbles-p932-uk;newport-p057-uk;portbury-p341-uk;saint-malo;sthelier-p074-uk;workington-p217-uk,barmouth-p923-uk;calais;cuxhaven-germany;dunkerque;esbjerg-130121-denmark;felixstowe-p204-uk;harwich-p022-uk;holyhead-p054-uk;morayfirth-p207-uk;newhaven-p011-uk;portsmouth-p008-uk;sheerness-p015-uk;stmarys-p231-uk,Dutch-German-Bight,4
omit-sector:eastern-Channel-southern-North-Sea,connected_area_km2,58,-0.49946168753268333,-0.32486388384754983,9.999000099990002e-05,12,0,2.4827586206896552,1.0,avonmouth-p060-uk;gladstone-p234-uk;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;llandudno-p007-uk;mumbles-p932-uk;newport-p057-uk;portbury-p341-uk;saint-malo;sthelier-p074-uk;workington-p217-uk,barmouth-p923-uk;cuxhaven-germany;delfzijl-del-nl;denhelder-hel-nl;esbjerg-130121-denmark;hoekvanholla-hvh-nl;holyhead-p054-uk;morayfirth-p207-uk;portsmouth-p008-uk;stmarys-p231-uk;tregde-006-norway;weymouth-p991-uk,eastern-Channel-southern-North-Sea,10
omit-sector:western-English-Channel,connected_area_km2,47,-0.04336262719703978,-0.004625346901017576,0.7706229377062294,10,3,2.127659574468085,0.7,boulogne-sur-mer;calais;cuxhaven-germany;dieppe;gladstone-p234-uk;heysham-p050-uk;le-havre;llandudno-p007-uk;sheerness-p015-uk;workington-p217-uk,barmouth-p923-uk;calais;cuxhaven-germany;delfzijl-del-nl;denhelder-hel-nl;dunkerque;esbjerg-130121-denmark;felixstowe-p204-uk;harwich-p022-uk;sheerness-p015-uk,western-English-Channel,21
